Name,Intelligence,Strength,Speed,Durability,Power,Combat,Alignment,Gender
3-D Man,80,35,45,35,25,55,good,Male
Abe Sapien,95,30,35,65,100,85,good,Male
Abin Sur,80,90,55,65,100,65,good,Male
A-Bomb,75,100,20,80,25,65,good,Male
Abomination,85,80,55,90,65,95,bad,Male
Abraxas,100,100,85,100,100,55,bad,Male
Absorbing Man,75,80,25,100,100,65,bad,Male
Adam Monroe,85,10,15,100,100,65,good,Male
Adam Strange,85,10,35,40,40,50,good,Male
Agent 13,80,40,45,50,45,85,good,Female
Agent Bob,60,10,15,5,5,20,good,Male
Agent Zero,90,30,40,80,75,95,good,Male
Air-Walker,80,85,100,85,100,40,bad,Male
Ajax,80,50,35,80,35,55,bad,Male
Alex Mercer,80,80,45,90,100,50,bad,Male
Alex Woolsly,55,35,40,45,35,40,good,Male
Alfred Pennyworth,85,10,20,10,10,55,good,Male
Alien,80,30,45,90,60,60,bad,Male
Amazo,85,100,85,100,100,100,bad,Male
Ammo,35,45,35,35,25,70,bad,Male
Ando Masahashi,35,25,30,60,65,30,good,Male
Angel,85,15,50,65,30,45,good,Male
Angel,90,30,60,90,100,75,good,Male
Angel Dust,75,55,25,45,20,30,good,Female
Angel Salvadore,75,10,30,30,60,60,good,Female
Angela,95,100,100,100,100,100,bad,Female
Animal Man,80,50,50,85,75,80,good,Male
Annihilus,90,80,50,60,60,65,bad,Male
Anti-Monitor,95,100,50,100,100,90,bad,Male
Anti-Spawn,75,60,55,65,70,65,bad,Male
Anti-Venom,90,60,65,90,100,85,-,Male
Ant-Man,100,20,25,30,35,35,good,Male
Ant-Man II,90,20,20,40,55,30,good,Male
Apocalypse,100,100,35,100,100,60,bad,Male
Aquababy,60,20,15,15,40,15,good,Male
Aqualad,85,45,45,75,90,60,good,Male
Aquaman,95,85,80,80,100,80,good,Male
Arachne,80,50,50,70,75,70,good,Female
Archangel,85,15,60,65,35,45,good,Male
Arclight,75,65,25,45,55,70,bad,Female
Ardina,85,100,100,80,100,25,good,Female
Ares,90,85,35,80,85,105,good,Male
Ares,90,100,75,100,100,100,neutral,Male
Ariel,80,10,15,15,95,30,good,Female
Armor,80,65,15,80,55,55,good,Female
Arsenal,80,55,60,60,65,85,good,Male
Atlas,85,80,25,100,100,50,good,Male
Atlas,85,100,45,100,30,80,bad,Male
Atom,90,95,75,95,90,85,good,Male
Atom Girl,75,10,25,30,40,45,good,Female
Atom II,95,10,35,45,40,60,good,Male
Atom IV,85,55,55,55,60,65,good,Male
Aurora,85,10,100,60,75,60,good,Female
Azazel,80,15,50,95,100,80,bad,Male
Azrael,85,20,20,20,35,80,good,Male
Aztar,95,95,95,95,95,90,good,Male
Bananaman,60,50,35,80,30,30,good,Male
Bane,95,40,25,60,55,95,bad,Male
Banshee,80,10,60,40,65,70,good,Male
Bantam,65,55,25,55,25,60,good,Male
Batgirl,70,45,50,40,45,70,good,Female
Batgirl,95,15,35,40,35,90,good,Female
Batgirl III,80,65,70,70,65,90,good,Female
Batgirl IV,85,15,30,60,50,100,good,Female
Batgirl VI,90,10,25,30,25,80,good,Female
Batman,95,40,30,55,65,90,good,Male
Batman,100,20,30,50,50,100,good,Male
Batman II,95,15,35,30,40,100,good,Male
Battlestar,80,55,35,75,50,75,good,Male
Batwoman V,95,10,30,25,30,80,good,Female
Beast,100,50,40,60,45,85,good,Male
